"","num","Differences","sequencename"
"1",1,642,"gi|8486127|ref|NC_002018.1|A/Puerto_Rico/8/1934_H1N1_|NA|NA|Puerto_Rico|NA"
"592",592,56,"gi|488465384|gb|KC891881.1|B/Pennsylvania/02/2012|01_Mar_2012|2012|USA|NA"
"593",593,55,"gi|488464656|gb|KC891609.1|B/Texas/01/2012|03_Feb_2012|2012|USA|NA"
"594",594,49,"gi|283137844|gb|GU323417.1|B/Incheon/473/2008|01_Feb_2008|2008|South_Korea|AS"
"595",595,46,"gi|168824993|gb|EU516016.1|B/Delaware/04/2007|29_Nov_2007|2007|USA|NA"
"596",596,48,"gi|327365399|gb|JF693255.1|B/Kol/1013/2007|27_Jul_2007|2007|India|AS"
"597",597,55,"gi|222433666|gb|FJ686895.1|B/Florida/17/2008|18_Nov_2008|2008|USA|NA"
"598",598,57,"gi|512772456|gb|KF217109.1|B/Michigan/24/2012|29_Aug_2012|2012|USA|NA"
"599",599,55,"gi|488464704|gb|KC891627.1|B/Michigan/02/2012|11_Jan_2012|2012|USA|NA"
"600",600,56,"gi|512771507|gb|KF216751.1|B/Nevada/15/2012|10_Oct_2012|2012|USA|NA"
"601",601,56,"gi|512771069|gb|KF216587.1|B/California/08/2012|26_Aug_2012|2012|USA|NA"
"602",602,55,"gi|356599091|gb|JN992880.1|B/California/06/2010|17_Nov_2010|2010|USA|NA"
"603",603,55,"gi|488464822|gb|KC891671.1|B/North_Carolina/28/2011|13_Nov_2011|2011|USA|NA"
"604",604,55,"gi|488465126|gb|KC891783.1|B/North_Carolina/01/2012|21_Feb_2012|2012|USA|NA"
"605",605,55,"gi|488464768|gb|KC891651.1|B/Delaware/02/2012|25_Jan_2012|2012|USA|NA"
"606",606,56,"gi|488464680|gb|KC891618.1|B/Virginia/01/2012|09_Feb_2012|2012|USA|NA"
"607",607,56,"gi|549436651|gb|CY156900.1|B/Victoria/500/2011|25_Jan_2011|2011|Australia|OC"
"608",608,53,"gi|476404967|gb|KC813904.1|B/Michigan/03/2011|01_Feb_2011|2011|USA|NA"
"609",609,55,"gi|488466051|gb|KC892132.1|B/Texas/38/2008|18_Dec_2008|2008|USA|NA"
"610",610,55,"gi|251825409|gb|GQ340636.1|B/Texas/38/2008|18_Dec_2008|2008|USA|NA"
"611",611,53,"gi|257815136|gb|GQ895055.1|B/Georgia/02/2009|30_Apr_2009|2009|USA|NA"
"612",612,54,"gi|354551525|gb|JN899429.1|B/Texas/02/2009|15_Jan_2009|2009|USA|NA"
"613",613,54,"gi|255529602|gb|GQ451473.1|B/Minnesota/05/2009|23_Apr_2009|2009|USA|NA"
"614",614,54,"gi|255529617|gb|GQ451483.1|B/Missouri/02/2009|07_Feb_2009|2009|USA|NA"
"615",615,54,"gi|222433704|gb|FJ686910.1|B/Texas/37/2008|29_Dec_2008|2008|USA|NA"
"616",616,53,"gi|255529632|gb|GQ451494.1|B/Texas/07/2009|29_Jan_2009|2009|USA|NA"
"617",617,50,"gi|170181683|gb|EU566964.1|B/California/22/2007|28_Dec_2007|2007|USA|NA"
"618",618,51,"gi|194354404|gb|EU889024.1|B/Nebraska/02/2008|10_Apr_2008|2008|USA|NA"
"619",619,53,"gi|193084847|gb|EU852040.1|B/Texas/05/2008|11_Apr_2008|2008|USA|NA"
"620",620,53,"gi|194441095|gb|EU914189.1|B/Texas/07/2008|11_Apr_2008|2008|USA|NA"
"621",621,53,"gi|194354382|gb|EU889015.1|B/Illinois/02/2008|22_Mar_2008|2008|USA|NA"
"622",622,51,"gi|193084777|gb|EU852012.1|B/Georgia/01/2008|05_Feb_2008|2008|USA|NA"
"623",623,51,"gi|194354389|gb|EU889018.1|B/Nevada/03/2008|08_Feb_2008|2008|USA|NA"
"624",624,52,"gi|333891234|gb|JF965361.1|B/Kol/1267/2007|24_Oct_2007|2007|India|AS"
"625",625,52,"gi|556093179|gb|KF765548.1|B/Finland/282/2009|2009|2009|Finland|EU"
"626",626,54,"gi|251825349|gb|GQ340594.1|B/New_Hampshire/02/2008|10_Dec_2008|2008|USA|NA"
"627",627,54,"gi|193084827|gb|EU852032.1|B/Washington/02/2008|27_Mar_2008|2008|USA|NA"
"628",628,54,"gi|196050046|gb|FJ009319.1|B/Minnesota/06/2008|01_May_2008|2008|USA|NA"
"629",629,50,"gi|196050036|gb|FJ009315.1|B/Mississippi/01/2008|30_Jan_2008|2008|USA|NA"
"630",630,48,"gi|168824831|gb|EU515921.1|B/California/01/2007|2007|2007|USA|NA"
"631",631,54,"gi|476404684|gb|KC813797.1|B/Louisiana/06/2011|20_Jan_2011|2011|USA|NA"
"632",632,53,"gi|476405087|gb|KC813949.1|B/Wisconsin/04/2011|06_Apr_2011|2011|USA|NA"
"633",633,53,"gi|356599075|gb|JN992874.1|B/Oklahoma/02/2010|05_Nov_2010|2010|USA|NA"
"634",634,52,"gi|505554997|gb|KC986752.1|B/Guangdong/GZ041/2010|31_Mar_2010|2010|China|AS"
"635",635,54,"gi|505555078|gb|KC986779.1|B/Guangdong/GZ072/2010|21_Apr_2010|2010|China|AS"
"636",636,54,"gi|505554883|gb|KC986714.1|B/Guangdong/GZ486/2009|21_Aug_2009|2009|China|AS"
"637",637,54,"gi|398324095|gb|JX266944.1|B/Taiwan/101/2010|10_Apr_2010|2010|Taiwan|AS"
"638",638,103,"gi|375306114|gb|CY109145.1|B/Guangdong/300/2010|Jun_2010|2010|China|AS"
"639",639,53,"gi|194354399|gb|EU889022.1|B/Illinois/03/2008|11_Mar_2008|2008|USA|NA"
"640",640,52,"gi|525552693|gb|KF314201.1|B/India/C117501/2010|05_Oct_2010|2010|India|AS"
"641",641,51,"gi|398324089|gb|JX266942.1|B/Taiwan/30/2008|22_Feb_2008|2008|Taiwan|AS"
"642",642,53,"gi|283137928|gb|GU323445.1|B/Gwangju/3843/2008|31_Mar_2008|2008|South_Korea|AS"
"643",643,54,"gi|283137919|gb|GU323442.1|B/Chungnam/3438/2008|25_Feb_2008|2008|South_Korea|AS"
"644",644,53,"gi|189303303|gb|EU779591.1|B/Missouri/03/2008|11_Feb_2008|2008|USA|NA"
"645",645,53,"gi|255529692|gb|GQ451537.1|B/Texas/11/2009|01_Mar_2009|2009|USA|NA"
"646",646,52,"gi|222433634|gb|FJ686882.1|B/Michigan/11/2008|05_Nov_2008|2008|USA|NA"
"647",647,54,"gi|222433617|gb|FJ686875.1|B/Washington/04/2008|09_Dec_2008|2008|USA|NA"
"648",648,51,"gi|214003716|gb|FJ480172.1|B/Wisconsin/24/2008|27_Aug_2008|2008|USA|NA"
"649",649,53,"gi|214003711|gb|FJ480170.1|B/Hawaii/05/2008|12_Apr_2008|2008|USA|NA"
"650",650,54,"gi|214003687|gb|FJ480160.1|B/New_Jersey/07/2008|02_Apr_2008|2008|USA|NA"
"651",651,54,"gi|214003666|gb|FJ480152.1|B/New_Jersey/07/2008|02_Apr_2008|2008|USA|NA"
"652",652,53,"gi|214003671|gb|FJ480154.1|B/Maryland/01/2008|24_Sep_2008|2008|USA|NA"
"653",653,52,"gi|197239607|gb|FJ152005.1|B/New_York/22/2008|16_Apr_2008|2008|USA|NA"
"654",654,53,"gi|168824990|gb|EU516015.1|B/Pennsylvania/13/2007|10_Dec_2007|2007|USA|NA"
"655",655,54,"gi|168824987|gb|EU516014.1|B/Massachusetts/05/2007|06_Dec_2007|2007|USA|NA"
"656",656,53,"gi|168824813|gb|EU515893.1|B/Minnesota/06/2007|19_Oct_2007|2007|USA|NA"
"657",657,53,"gi|197239632|gb|FJ152016.1|B/New_York/24/2008|23_Apr_2008|2008|USA|NA"
"658",658,52,"gi|168824807|gb|EU515891.1|B/California/13/2007|29_Oct_2007|2007|USA|NA"
"659",659,100,"gi|375306117|gb|CY109146.1|B/Guangdong/301/2010|Jul_2010|2010|China|AS"
"660",660,102,"gi|375306086|gb|CY109134.1|B/Guangdong/294/2010|Jul_2010|2010|China|AS"
"661",661,52,"gi|189303283|gb|EU779583.1|B/Hawaii/01/2008|19_Jan_2008|2008|USA|NA"
"662",662,52,"gi|193084802|gb|EU852022.1|B/Hawaii/04/2008|01_Feb_2008|2008|USA|NA"
"663",663,52,"gi|556093155|gb|KF765538.1|B/Finland/466/2009|2009|2009|Finland|EU"
"664",664,52,"gi|505554928|gb|KC986729.1|B/Guangdong/GZ009/2010|19_Jan_2010|2010|China|AS"
"665",665,52,"gi|556089344|gb|CY150738.1|B/Christchurch/6/2008|11_Jun_2008|2008|New_Zealand|OC"
"666",666,52,"gi|170181658|gb|EU566954.1|B/New_Mexico/01/2008|02_Jan_2008|2008|USA|NA"
"667",667,52,"gi|170181655|gb|EU566953.1|B/Wisconsin/04/2008|02_Jan_2008|2008|USA|NA"
"668",668,52,"gi|189303196|gb|EU779548.1|B/Wisconsin/05/2008|02_Jan_2008|2008|USA|NA"
"669",669,50,"gi|194354411|gb|EU889027.1|B/New_York/04/2008|02_Apr_2008|2008|USA|NA"
"670",670,52,"gi|194354367|gb|EU889009.1|B/Massachusetts/02/2008|10_Mar_2008|2008|USA|NA"
"671",671,52,"gi|189303348|gb|EU779609.1|B/Illinois/01/2008|14_Mar_2008|2008|USA|NA"
"672",672,52,"gi|189303313|gb|EU779595.1|B/Oklahoma/01/2008|19_Feb_2008|2008|USA|NA"
"673",673,50,"gi|189303271|gb|EU779578.1|B/Wisconsin/07/2008|29_Jan_2008|2008|USA|NA"
"674",674,52,"gi|189303256|gb|EU779572.1|B/Minnesota/01/2008|01_Feb_2008|2008|USA|NA"
"675",675,52,"gi|251825442|gb|GQ340656.1|B/Wisconsin/10/2008|05_Feb_2008|2008|USA|NA"
"676",676,52,"gi|251825421|gb|GQ340644.1|B/New_Mexico/01/2009|08_Jan_2009|2009|USA|NA"
"677",677,52,"gi|255529719|gb|GQ451556.1|B/Virginia/03/2009|17_Mar_2009|2009|USA|NA"
"678",678,51,"gi|222433644|gb|FJ686886.1|B/Alaska/05/2008|21_Nov_2008|2008|USA|NA"
"679",679,52,"gi|193084822|gb|EU852030.1|B/Minnesota/02/2008|19_Mar_2008|2008|USA|NA"
"680",680,52,"gi|193084787|gb|EU852016.1|B/New_York/02/2008|22_Feb_2008|2008|USA|NA"
"681",681,52,"gi|196050031|gb|FJ009313.1|B/Michigan/04/2008|27_Mar_2008|2008|USA|NA"
"682",682,52,"gi|196050021|gb|FJ009309.1|B/Wisconsin/23/2008|27_Mar_2008|2008|USA|NA"
"683",683,52,"gi|168824969|gb|EU516008.1|B/New_York/12/2007|02_Dec_2007|2007|USA|NA"
"684",684,52,"gi|222433714|gb|FJ686914.1|B/Mississippi/04/2008|18_Aug_2008|2008|USA|NA"
"685",685,52,"gi|222433637|gb|FJ686883.1|B/Mississippi/04/2008|18_Aug_2008|2008|USA|NA"
"686",686,52,"gi|214003684|gb|FJ480159.1|B/Mississippi/02/2008|04_Aug_2008|2008|USA|NA"
"687",687,50,"gi|255529698|gb|GQ451542.1|B/California/01/2009|30_Jan_2009|2009|USA|NA"
"688",688,52,"gi|214003657|gb|FJ480148.1|B/Alaska/02/2008|07_Aug_2008|2008|USA|NA"
"689",689,61,"gi|448267425|gb|KC457559.1|B/Japan/854/2009|19_Nov_2009|2009|Japan|AS"
"690",690,101,"gi|375306173|gb|CY109168.1|B/Guangdong/92/2010|Apr_2010|2010|China|AS"
"691",691,101,"gi|375306091|gb|CY109136.1|B/Guangdong/295/2010|Jul_2010|2010|China|AS"
"692",692,101,"gi|375306078|gb|CY109131.1|B/Guangdong/292/2010|Jul_2010|2010|China|AS"
"693",693,101,"gi|375306023|gb|CY109109.1|B/Guangdong/27/2010|Mar_2010|2010|China|AS"
"694",694,101,"gi|375305978|gb|CY109091.1|B/Guangdong/258/2010|Jun_2010|2010|China|AS"
"695",695,51,"gi|556093171|gb|KF765545.1|B/Finland/572/2009|2009|2009|Finland|EU"
"696",696,51,"gi|505554850|gb|KC986703.1|B/Guangdong/GZ470/2009|07_Aug_2009|2009|China|AS"
"697",697,51,"gi|327365408|gb|JF693258.1|B/Kol/1253/2007|15_Oct_2007|2007|India|AS"
"698",698,51,"gi|283137898|gb|GU323435.1|B/Gyeongnam/1934/2008|25_Feb_2008|2008|South_Korea|AS"
"699",699,51,"gi|283137892|gb|GU323433.1|B/Busan/1391/2008|29_Feb_2008|2008|South_Korea|AS"
"700",700,51,"gi|170181678|gb|EU566962.1|B/Colorado/01/2007|28_Oct_2007|2007|USA|NA"
"701",701,51,"gi|194354377|gb|EU889013.1|B/Indiana/01/2008|10_Mar_2008|2008|USA|NA"
"702",702,51,"gi|189303338|gb|EU779605.1|B/New_Jersey/02/2008|05_Mar_2008|2008|USA|NA"
"703",703,51,"gi|189303323|gb|EU779599.1|B/West_Virginia/01/2008|03_Feb_2008|2008|USA|NA"
"704",704,51,"gi|189303318|gb|EU779597.1|B/Oklahoma/02/2008|18_Feb_2008|2008|USA|NA"
"705",705,51,"gi|189303308|gb|EU779593.1|B/Vermont/01/2008|30_Jan_2008|2008|USA|NA"
"706",706,51,"gi|189303298|gb|EU779589.1|B/Missouri/02/2008|09_Feb_2008|2008|USA|NA"
"707",707,51,"gi|189303293|gb|EU779587.1|B/Hawaii/03/2008|24_Jan_2008|2008|USA|NA"
"708",708,51,"gi|189303278|gb|EU779581.1|B/Arkansas/01/2008|2008|2008|USA|NA"
"709",709,51,"gi|189303266|gb|EU779576.1|B/Nevada/02/2008|06_Feb_2008|2008|USA|NA"
"710",710,51,"gi|189303251|gb|EU779570.1|B/Nebraska/01/2008|09_Jan_2008|2008|USA|NA"
"711",711,51,"gi|189303231|gb|EU779562.1|B/Wisconsin/13/2008|19_Jan_2008|2008|USA|NA"
"712",712,51,"gi|189303211|gb|EU779554.1|B/Colorado/03/2007|29_Dec_2007|2007|USA|NA"
"713",713,51,"gi|189303206|gb|EU779552.1|B/Colorado/03/2007|29_Dec_2007|2007|USA|NA"
"714",714,51,"gi|189303201|gb|EU779550.1|B/New_Mexico/05/2007|31_Dec_2007|2007|USA|NA"
"715",715,51,"gi|189303168|gb|EU779537.1|B/Iowa/02/2007|27_Nov_2007|2007|USA|NA"
"716",716,51,"gi|251825394|gb|GQ340624.1|B/Oklahoma/03/2007|01_Nov_2007|2007|USA|NA"
"717",717,51,"gi|251825322|gb|GQ340578.1|B/Idaho/03/2008|11_Feb_2008|2008|USA|NA"
"718",718,51,"gi|218217950|gb|FJ549032.1|B/Wisconsin/25/2008|23_Oct_2008|2008|USA|NA"
"719",719,51,"gi|218217932|gb|FJ549024.1|B/Wisconsin/25/2008|23_Oct_2008|2008|USA|NA"
"720",720,51,"gi|214003706|gb|FJ480168.1|B/Indiana/01/2008|10_Mar_2008|2008|USA|NA"
"721",721,51,"gi|214003679|gb|FJ480157.1|B/Washington/01/2008|29_Feb_2008|2008|USA|NA"
"722",722,51,"gi|193084837|gb|EU852036.1|B/New_Jersey/04/2008|15_Apr_2008|2008|USA|NA"
"723",723,51,"gi|193084832|gb|EU852034.1|B/Iowa/01/2008|04_Apr_2008|2008|USA|NA"
"724",724,51,"gi|193084812|gb|EU852026.1|B/North_Carolina/01/2008|06_Feb_2008|2008|USA|NA"
"725",725,51,"gi|193084807|gb|EU852024.1|B/Washington/01/2008|29_Feb_2008|2008|USA|NA"
"726",726,51,"gi|193084792|gb|EU852018.1|B/New_York/03/2008|29_Jan_2008|2008|USA|NA"
"727",727,51,"gi|197239620|gb|FJ152011.1|B/Florida/05/2008|26_Mar_2008|2008|USA|NA"
"728",728,51,"gi|196050056|gb|FJ009323.1|B/Colorado/01/2008|12_Feb_2008|2008|USA|NA"
"729",729,51,"gi|196050051|gb|FJ009321.1|B/Florida/04/2008|09_Apr_2008|2008|USA|NA"
"730",730,51,"gi|196050041|gb|FJ009317.1|B/Indiana/08/2008|17_Mar_2008|2008|USA|NA"
"731",731,51,"gi|196050006|gb|FJ009303.1|B/New_York/21/2008|11_Apr_2008|2008|USA|NA"
"732",732,51,"gi|196050001|gb|FJ009301.1|B/Indiana/05/2008|16_Mar_2008|2008|USA|NA"
"733",733,51,"gi|194441105|gb|EU914193.1|B/Idaho/02/2008|14_Apr_2008|2008|USA|NA"
"734",734,51,"gi|194441100|gb|EU914191.1|B/Michigan/05/2008|21_Apr_2008|2008|USA|NA"
"735",735,51,"gi|168824978|gb|EU516011.1|B/Missouri/01/2008|03_Jan_2008|2008|USA|NA"
"736",736,51,"gi|168824951|gb|EU515989.1|B/Oklahoma/02/2007|09_Nov_2007|2007|USA|NA"
"737",737,51,"gi|168824945|gb|EU515987.1|B/California/14/2007|13_Nov_2007|2007|USA|NA"
"738",738,51,"gi|168824939|gb|EU515985.1|B/California/19/2007|29_Oct_2007|2007|USA|NA"
"739",739,54,"gi|333891230|gb|JF965359.1|B/Kol/1109/2007|29_Aug_2007|2007|India|AS"
"740",740,53,"gi|333891232|gb|JF965360.1|B/Kol/1266/2007|24_Oct_2007|2007|India|AS"
"741",741,53,"gi|327365405|gb|JF693257.1|B/Kol/1234/2007|09_Oct_2007|2007|India|AS"
"742",742,53,"gi|168824957|gb|EU515991.1|B/California/18/2007|27_Oct_2007|2007|USA|NA"
"743",743,53,"gi|168824942|gb|EU515986.1|B/California/16/2007|27_Oct_2007|2007|USA|NA"
"744",744,53,"gi|194354394|gb|EU889020.1|B/Nevada/04/2008|21_Mar_2008|2008|USA|NA"
"745",745,53,"gi|193084797|gb|EU852020.1|B/California/01/2008|09_Jan_2008|2008|USA|NA"
"746",746,51,"gi|327365402|gb|JF693256.1|B/Kol/1230/2007|08_Oct_2007|2007|India|AS"
"747",747,53,"gi|189303261|gb|EU779574.1|B/Nevada/01/2008|31_Jan_2008|2008|USA|NA"
"748",748,52,"gi|333891240|gb|JF965364.1|B/Kol/2024/2008|25_Sep_2008|2008|India|AS"
"749",749,52,"gi|327365417|gb|JF693261.1|B/Kol/2065/2008|23_Oct_2008|2008|India|AS"
"750",750,52,"gi|327365411|gb|JF693259.1|B/Kol/1857/2008|04_Aug_2008|2008|India|AS"
"751",751,52,"gi|251825370|gb|GQ340610.1|B/South_Carolina/01/2008|20_Mar_2008|2008|USA|NA"
"752",752,56,"gi|168824885|gb|EU515942.1|B/Pennsylvania/02/2007|02_Feb_2007|2007|USA|NA"
"753",753,56,"gi|168824816|gb|EU515916.1|B/Pennsylvania/02/2007|02_Feb_2007|2007|USA|NA"
"754",754,56,"gi|168824798|gb|EU515888.1|B/Pennsylvania/03/2007|10_Jan_2007|2007|USA|NA"
"755",755,55,"gi|168824897|gb|EU515954.1|B/Pennsylvania/01/2007|26_Feb_2007|2007|USA|NA"
"756",756,55,"gi|168824894|gb|EU515953.1|B/Pennsylvania/01/2007|26_Feb_2007|2007|USA|NA"
"757",757,55,"gi|168824801|gb|EU515889.1|B/Pennsylvania/01/2007|26_Feb_2007|2007|USA|NA"
"758",758,52,"gi|156123553|gb|EU100659.1|B/Alabama/04/2006|19_Sep_2006|2006|USA|NA"
"759",759,46,"gi|327506255|gb|JF733867.1|B/Hiroshima_C/7/2005|2005|2005|Japan|AS"
"760",760,46,"gi|134306660|gb|EF512575.1|B/Canada/580/2004|2004|2004|Canada|NA"
"761",761,45,"gi|114941941|gb|CY015288.1|B/Florida/7e/2004|01_Oct_2004|2004|USA|NA"
"762",762,45,"gi|194351679|gb|CY033854.1|B/Florida/7/2004|2004|2004|USA|NA"
"763",763,47,"gi|134306663|gb|EF512576.1|B/Massachusetts/03/2004|2004|2004|USA|NA"
"764",764,51,"gi|156123260|gb|EU100472.1|B/Colorado/03/2004|02_Nov_2004|2004|USA|NA"
"765",765,51,"gi|114942001|gb|CY015298.1|B/Colorado/5/2004|30_Nov_2004|2004|USA|NA"
"766",766,51,"gi|114941959|gb|CY015435.1|B/California/3/2004|23_Oct_2004|2004|USA|NA"
"767",767,52,"gi|114941987|gb|CY015296.1|B/Colorado/4e/2004|09_Nov_2004|2004|USA|NA"
"768",768,29,"gi|403491913|gb|JX513056.1|B/Thailand/CU_B4585/2011|04_Feb_2011|2011|Thailand|AS"
"769",769,32,"gi|351590001|gb|JN790344.1|B/Niigata/10F478/2011|10_Feb_2011|2011|Japan|AS"
"770",770,27,"gi|255529608|gb|GQ451477.1|B/Pennsylvania/03/2009|15_Mar_2009|2009|USA|NA"
"771",771,39,"gi|293631583|gb|GU943235.1|B/Singapore/DSO_0100/2009|May_2009|2009|Singapore|AS"
"772",772,68,"gi|293631580|gb|GU943234.1|B/Singapore/DSO_0070/2009|May_2009|2009|Singapore|AS"
"773",773,68,"gi|293631577|gb|GU943233.1|B/Singapore/DSO_0005/2009|May_2009|2009|Singapore|AS"
"774",774,39,"gi|293631574|gb|GU943232.1|B/Singapore/DSO_0003/2009|May_2009|2009|Singapore|AS"
"775",775,98,"gi|375305794|gb|CY109018.1|B/Guangdong/160/2011|Jul_2011|2011|China|AS"
"776",776,31,"gi|505554613|gb|KC986624.1|B/Guangdong/GZ070/2009|08_May_2009|2009|China|AS"
"777",777,31,"gi|505554598|gb|KC986619.1|B/Guangdong/GZ064/2009|22_Apr_2009|2009|China|AS"
"778",778,33,"gi|293631556|gb|GU943226.1|B/Singapore/DSO_020113/2007|Mar_2007|2007|Singapore|AS"
"779",779,21,"gi|293631484|gb|GU943202.1|B/Singapore/DSO_050528/2005|May_2005|2005|Singapore|AS"
"780",780,82,"gi|293631505|gb|GU943209.1|B/Singapore/DSO_050599/2005|May_2005|2005|Singapore|AS"
"781",781,31,"gi|293631520|gb|GU943214.1|B/Singapore/DSO_050625/2005|May_2005|2005|Singapore|AS"
"782",782,76,"gi|293631490|gb|GU943204.1|B/Singapore/DSO_050541/2005|May_2005|2005|Singapore|AS"
"783",783,24,"gi|293631553|gb|GU943225.1|B/Singapore/DSO_050230/2006|Jun_2006|2006|Singapore|AS"
"784",784,42,"gi|293631529|gb|GU943217.1|B/Singapore/DSO_040105/2006|Jun_2006|2006|Singapore|AS"
"785",785,23,"gi|293631550|gb|GU943224.1|B/Singapore/DSO_050199/2006|Jun_2006|2006|Singapore|AS"
"786",786,30,"gi|293631481|gb|GU943201.1|B/Singapore/DSO_050526/2005|May_2005|2005|Singapore|AS"
"787",787,25,"gi|293631496|gb|GU943206.1|B/Singapore/DSO_050549/2005|May_2005|2005|Singapore|AS"
"788",788,27,"gi|293631541|gb|GU943221.1|B/Singapore/DSO_040133/2006|Jun_2006|2006|Singapore|AS"
"789",789,30,"gi|293631535|gb|GU943219.1|B/Singapore/DSO_040122/2006|Jun_2006|2006|Singapore|AS"
"790",790,49,"gi|293631499|gb|GU943207.1|B/Singapore/DSO_050566/2005|May_2005|2005|Singapore|AS"
"791",791,22,"gi|293631517|gb|GU943213.1|B/Singapore/DSO_050622/2005|May_2005|2005|Singapore|AS"
"792",792,22,"gi|293631514|gb|GU943212.1|B/Singapore/DSO_050600/2005|May_2005|2005|Singapore|AS"
"793",793,62,"gi|293631493|gb|GU943205.1|B/Singapore/DSO_050544/2005|Feb_2005|2005|Singapore|AS"
"794",794,72,"gi|293631523|gb|GU943215.1|B/Singapore/DSO_050629/2005|Jun_2005|2005|Singapore|AS"
"795",795,23,"gi|293631502|gb|GU943208.1|B/Singapore/DSO_050578/2005|May_2005|2005|Singapore|AS"
"796",796,22,"gi|293631544|gb|GU943222.1|B/Singapore/DSO_040174/2006|Jun_2006|2006|Singapore|AS"
"797",797,25,"gi|293631538|gb|GU943220.1|B/Singapore/DSO_040131/2006|Jun_2006|2006|Singapore|AS"
"798",798,24,"gi|293631532|gb|GU943218.1|B/Singapore/DSO_040117/2006|Jun_2006|2006|Singapore|AS"
"799",799,22,"gi|549407575|gb|CY151971.1|B/Victoria/521/2005|31_Jul_2005|2005|Australia|OC"
"800",800,21,"gi|549406815|gb|CY151651.1|B/Wellington/18/2005|18_May_2005|2005|New_Zealand|OC"
"801",801,41,"gi|293631472|gb|GU943198.1|B/Singapore/DSO_090133/2004|Oct_2004|2004|Singapore|AS"
"802",802,23,"gi|194351869|gb|CY033934.1|B/Taiwan/70061/2006|16_Jan_2006|2006|Taiwan|AS"
"803",803,81,"gi|293631466|gb|GU943196.1|B/Singapore/DSO_090124/2004|Oct_2004|2004|Singapore|AS"
"804",804,63,"gi|293631463|gb|GU943195.1|B/Singapore/DSO_090114/2004|Oct_2004|2004|Singapore|AS"
"805",805,79,"gi|293631487|gb|GU943203.1|B/Singapore/DSO_050540/2005|May_2005|2005|Singapore|AS"
"806",806,34,"gi|293631547|gb|GU943223.1|B/Singapore/DSO_040203/2006|Jun_2006|2006|Singapore|AS"
"807",807,37,"gi|293631508|gb|GU943210.1|B/Singapore/DSO_010143/2005|Apr_2005|2005|Singapore|AS"
"808",808,32,"gi|293631478|gb|GU943200.1|B/Singapore/DSO_090136/2004|Oct_2004|2004|Singapore|AS"
"809",809,24,"gi|293631475|gb|GU943199.1|B/Singapore/DSO_090134/2004|Oct_2004|2004|Singapore|AS"
"810",810,32,"gi|293631469|gb|GU943197.1|B/Singapore/DSO_090131/2004|Oct_2004|2004|Singapore|AS"
"811",811,23,"gi|387592045|gb|CY119756.1|B/Malaysia/31529/2005|14_May_2005|2005|Malaysia|AS"
"812",812,23,"gi|387571661|gb|CY119740.1|B/Malaysia/30589/2005|05_Jan_2005|2005|Malaysia|AS"
"813",813,26,"gi|293631511|gb|GU943211.1|B/Singapore/DSO_010151/2005|Apr_2005|2005|Singapore|AS"
"814",814,22,"gi|225676821|gb|CY038289.1|B/Malaysia/2506/2004|2004|2004|Malaysia|AS"
"815",815,21,"gi|146215920|gb|EF566434.1|B/Malaysia/2506/2004__egg_passaged_|06_Dec_2004|2004|Malaysia|AS"
"816",816,21,"gi|119516457|gb|CY018663.1|B/Hong_Kong/310/2004|24_Nov_2004|2004|Hong_Kong|EU"
"817",817,21,"gi|237689811|gb|CY040451.1|B/Malaysia/2506/2004|2004|2004|Malaysia|AS"
"818",818,21,"gi|189303173|gb|EU779539.1|B/Hawaii/03/2007|03_Nov_2007|2007|USA|NA"
"819",819,84,"gi|375305907|gb|CY109063.1|B/Guangdong/2/2010|Jan_2010|2010|China|AS"
"820",820,39,"gi|590123042|gb|KJ532195.1|B/Washington/05/2013|19_Dec_2013|2013|USA|NA"
"821",821,37,"gi|451329969|gb|KC488865.1|B/Saint_Petersburg/RII44/2012|09_Apr_2012|2012|Russia|AS"
"822",822,37,"gi|451329964|gb|KC488863.1|B/Saint_Petersburg/RII44/2012|09_Apr_2012|2012|Russia|AS"
"823",823,36,"gi|488465713|gb|KC892005.1|B/Kansas/01/2012|13_Jan_2012|2012|USA|NA"
"824",824,87,"gi|375305811|gb|CY109025.1|B/Guangdong/162/2011|Aug_2011|2011|China|AS"
"825",825,84,"gi|375305639|gb|CY108956.1|B/Guangdong/123/2010|Mar_2010|2010|China|AS"
"826",826,34,"gi|505555138|gb|KC986799.1|B/Guangdong/GZ107/2010|07_May_2010|2010|China|AS"
"827",827,35,"gi|402485556|gb|JX465471.1|B/Gyeonggi/82/2010|20_Mar_2010|2010|South_Korea|AS"
"828",828,85,"gi|375305742|gb|CY108997.1|B/Guangdong/152/2010|Apr_2010|2010|China|AS"
"829",829,34,"gi|505554709|gb|KC986656.1|B/Guangdong/GZ110/2009|05_Jun_2009|2009|China|AS"
"830",830,34,"gi|505554703|gb|KC986654.1|B/Guangdong/GZ108/2009|05_Jun_2009|2009|China|AS"
"831",831,34,"gi|505554700|gb|KC986653.1|B/Guangdong/GZ107/2009|05_Jun_2009|2009|China|AS"
"832",832,34,"gi|505554694|gb|KC986651.1|B/Guangdong/GZ104/2009|03_Jun_2009|2009|China|AS"
"833",833,33,"gi|505554736|gb|KC986665.1|B/Guangdong/GZ121/2009|17_Jun_2009|2009|China|AS"
"834",834,33,"gi|505554643|gb|KC986634.1|B/Guangdong/GZ086/2009|22_May_2009|2009|China|AS"
